Groups:
pos_buffer:pos_bufferEx01|target_pos[17..0] =, pos_buffer:pos_bufferEx01|target_pos[17], pos_buffer:pos_bufferEx01|target_pos[16], pos_buffer:pos_bufferEx01|target_pos[15], pos_buffer:pos_bufferEx01|target_pos[14], pos_buffer:pos_bufferEx01|target_pos[13], pos_buffer:pos_bufferEx01|target_pos[12], pos_buffer:pos_bufferEx01|target_pos[11], pos_buffer:pos_bufferEx01|target_pos[10], pos_buffer:pos_bufferEx01|target_pos[9], pos_buffer:pos_bufferEx01|target_pos[8], pos_buffer:pos_bufferEx01|target_pos[7], pos_buffer:pos_bufferEx01|target_pos[6], pos_buffer:pos_bufferEx01|target_pos[5], pos_buffer:pos_bufferEx01|target_pos[4], pos_buffer:pos_bufferEx01|target_pos[3], pos_buffer:pos_bufferEx01|target_pos[2], pos_buffer:pos_bufferEx01|target_pos[1], pos_buffer:pos_bufferEx01|target_pos[0],  unsigned decimal

Data:
time unit: s, pos_buffer:pos_bufferEx01|target_pos[17..0], pos_buffer:pos_bufferEx01|target_pos[17], pos_buffer:pos_bufferEx01|target_pos[16], pos_buffer:pos_bufferEx01|target_pos[15], pos_buffer:pos_bufferEx01|target_pos[14], pos_buffer:pos_bufferEx01|target_pos[13], pos_buffer:pos_bufferEx01|target_pos[12], pos_buffer:pos_bufferEx01|target_pos[11], pos_buffer:pos_bufferEx01|target_pos[10], pos_buffer:pos_bufferEx01|target_pos[9], pos_buffer:pos_bufferEx01|target_pos[8], pos_buffer:pos_bufferEx01|target_pos[7], pos_buffer:pos_bufferEx01|target_pos[6], pos_buffer:pos_bufferEx01|target_pos[5], pos_buffer:pos_bufferEx01|target_pos[4], pos_buffer:pos_bufferEx01|target_pos[3], pos_buffer:pos_bufferEx01|target_pos[2], pos_buffer:pos_bufferEx01|target_pos[1], pos_buffer:pos_bufferEx01|target_pos[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
36, 4215, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 
37, 4203, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 
38, 4199, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 
39, 4198, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 
40, 4198, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 
41, 4198, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 
42, 4196, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 
43, 4183, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 
44, 4178, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 
45, 4169, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 
46, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
47, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
48, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
49, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
50, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
51, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
52, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
53, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
54, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
55, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
56, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
57, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
58, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
59, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
60, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
61, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
62, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
63, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
64, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
65, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
66, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
67, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
68, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
69, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
70, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
71, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
72, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
73, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
74, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
75, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
76, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
77, 4167, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
