Signal Legend:

Key        Signal Name

0        = upload_en
1        = motor_enable
2        = laser_enable
3        = alarm_io[2..0]
4        = altgx_drive:altgx_driveEx01|send_en
5        = altgx_drive:altgx_driveEx01|rx_dataout[15..0]
6        = algo_top:algo_topEx01|angle_offset[15..0]
7        = single_target_valid
8        = single_target_pos[17..0]
9        = zero_value[31..0]
10       = altgx_drive:altgx_driveEx01|cycle_ctrl:cycle_ctrlEx01|cnt[31..0]
11       = altgx_drive:altgx_driveEx01|cycle_ctrl:cycle_ctrlEx01|laser_start

Data Table:

Signals-> 0 1 2 3  4 5     6   7 8  9    10  11 

sample

60        0 1 1 0h 0 0000h 135 0 82 7397 113 1  
61        0 1 1 0h 0 0000h 135 0 82 7397 114 1  
62        0 1 1 0h 0 0000h 135 0 82 7397 115 1  
63        0 1 1 0h 0 0000h 135 0 82 7397 116 1  
64        0 1 1 0h 0 0000h 135 0 82 7397 117 1  
65        0 1 1 0h 0 0000h 135 0 82 7397 118 1  
66        0 1 1 0h 0 0000h 135 0 82 7397 119 1  
67        0 1 1 0h 0 0000h 135 0 82 7397 120 1  
68        0 1 1 0h 0 0000h 135 0 82 7397 121 1  
69        0 1 1 0h 0 0000h 135 0 82 7397 122 1  
70        0 1 1 0h 0 0000h 135 0 82 7397 123 1  
71        0 1 1 0h 1 0000h 135 0 82 7397 124 1  
72        0 1 1 0h 0 0000h 135 0 82 7397 0   1  
73        0 1 1 0h 0 0000h 135 0 82 7397 1   1  
74        0 1 1 0h 0 0000h 135 0 82 7397 2   1  
75        0 1 1 0h 0 0000h 135 0 82 7397 3   1  
76        0 1 1 0h 0 0000h 135 0 82 7397 4   1  
77        0 1 1 0h 0 0000h 135 0 82 7397 5   1  
78        0 1 1 0h 0 0000h 135 0 82 7397 6   1  
79        0 1 1 0h 0 E000h 135 0 82 7397 7   1  
80        0 1 1 0h 0 07FFh 135 0 82 7397 8   1  
81        0 1 1 0h 0 0000h 135 0 82 7397 9   1  
82        0 1 1 0h 0 0000h 135 0 82 7397 10  1  
83        0 1 1 0h 0 0000h 135 0 82 7397 11  1  
84        0 1 1 0h 0 0000h 135 0 82 7397 12  1  
85        0 1 1 0h 0 0000h 135 0 82 7397 13  1  
86        0 1 1 0h 0 0000h 135 0 82 7397 14  1  
87        0 1 1 0h 0 0000h 135 0 82 7397 15  1  
88        0 1 1 0h 0 0000h 135 0 82 7397 16  1  
89        0 1 1 0h 0 0000h 135 0 82 7397 17  1  
90        0 1 1 0h 0 0000h 135 0 82 7397 18  1  
91        0 1 1 0h 0 0000h 135 0 82 7397 19  1  
92        0 1 1 0h 0 0000h 135 0 82 7397 20  1  
93        0 1 1 0h 0 0000h 135 0 82 7397 21  1  
94        0 1 1 0h 0 0000h 135 0 82 7397 22  1  
95        0 1 1 0h 0 0000h 135 0 82 7397 23  1  
96        0 1 1 0h 0 0000h 135 0 82 7397 24  1  
97        0 1 1 0h 0 0000h 135 0 82 7397 25  1  
98        0 1 1 0h 0 0000h 135 0 82 7397 26  1  
99        0 1 1 0h 0 0000h 135 0 82 7397 27  1  
100       0 1 1 0h 0 0000h 135 0 82 7397 28  1  
101       0 1 1 0h 0 0000h 135 0 82 7397 29  1  
102       0 1 1 0h 0 0000h 135 0 82 7397 30  1  
103       0 1 1 0h 0 0000h 135 0 82 7397 31  1  
104       0 1 1 0h 0 0000h 135 0 82 7397 32  1  
105       0 1 1 0h 0 0000h 135 0 82 7397 33  1  
106       0 1 1 0h 0 0000h 135 0 82 7397 34  1  
107       0 1 1 0h 0 0000h 135 0 82 7397 35  1  
108       0 1 1 0h 0 0000h 135 0 82 7397 36  1  
109       0 1 1 0h 0 0000h 135 0 82 7397 37  1  
110       0 1 1 0h 0 0000h 135 0 82 7397 38  1  
111       0 1 1 0h 0 0000h 135 0 82 7397 39  1  
112       0 1 1 0h 0 0000h 135 0 82 7397 40  1  
113       0 1 1 0h 0 0000h 135 0 82 7397 41  1  
114       0 1 1 0h 0 0000h 135 0 82 7397 42  1  
115       0 1 1 0h 0 0000h 135 0 82 7397 43  1  
116       0 1 1 0h 0 0000h 135 0 82 7397 44  1  
117       0 1 1 0h 0 0000h 135 0 82 7397 45  1  
118       0 1 1 0h 0 0000h 135 0 82 7397 46  1  
119       0 1 1 0h 0 0000h 135 0 82 7397 47  1  
120       0 1 1 0h 0 0000h 135 0 82 7397 48  1  
121       0 1 1 0h 0 0000h 135 0 82 7397 49  1  
122       0 1 1 0h 0 0000h 135 0 82 7397 50  1  
123       0 1 1 0h 0 0000h 135 0 82 7397 51  1  
124       0 1 1 0h 0 0000h 135 0 82 7397 52  1  
125       0 1 1 0h 0 0000h 135 0 82 7397 53  1  
126       0 1 1 0h 0 0000h 135 0 82 7397 54  1  
127       0 1 1 0h 0 0000h 135 0 82 7397 55  1  
128       0 1 1 0h 0 0000h 135 0 82 7397 56  1  
129       0 1 1 0h 0 0000h 135 0 82 7397 57  1  
130       0 1 1 0h 0 0000h 135 0 82 7397 58  1  
131       0 1 1 0h 0 0000h 135 0 82 7397 59  1  
132       0 1 1 0h 0 0000h 135 0 82 7397 60  1  
133       0 1 1 0h 0 0000h 135 0 82 7397 61  1  
134       0 1 1 0h 0 0000h 135 0 82 7397 62  1  
135       0 1 1 0h 0 0000h 135 0 82 7397 63  1  
136       0 1 1 0h 0 0000h 135 0 82 7397 64  1  
137       0 1 1 0h 0 0000h 135 0 82 7397 65  1  
138       0 1 1 0h 0 0000h 135 0 82 7397 66  1  
139       0 1 1 0h 0 0000h 135 0 82 7397 67  1  
140       0 1 1 0h 0 0000h 135 0 82 7397 68  1  
141       0 1 1 0h 0 0000h 135 0 82 7397 69  1  
142       0 1 1 0h 0 0000h 135 0 82 7397 70  1  
143       0 1 1 0h 0 0000h 135 0 82 7397 71  1  
144       0 1 1 0h 0 0000h 135 0 82 7397 72  1  
145       0 1 1 0h 0 0000h 135 1 82 7397 73  1  
146       0 1 1 0h 0 0000h 135 0 82 7397 74  1  
147       0 1 1 0h 0 0000h 135 0 82 7397 75  1  
148       0 1 1 0h 0 0000h 135 0 82 7397 76  1  
149       0 1 1 0h 0 0000h 135 0 82 7397 77  1  
150       0 1 1 0h 0 0000h 135 0 82 7397 78  1  
151       0 1 1 0h 0 0000h 135 0 82 7397 79  1  
152       0 1 1 0h 0 0000h 135 0 82 7397 80  1  
